points,holes left,win probability,tie probability
0.0,9.0,0,1.4507145975868995e-05
0.0,10.0,6.513708543165177e-05,0.0004391663259384616
0.0,11.0,0.0009807195859568897,0.003105158022702241
0.0,12.0,0.005899309854145863,0.0114630163426764
0.0,13.0,0.021511514247608384,0.028392301021199263
0.0,14.0,0.05657274593480829,0.05327105326281131
0.0,15.0,0.11793335999099677,0.08123371111824872
0.0,16.0,0.2067218130853075,0.10534292750438692
0.0,17.0,0.31721665722876985,0.1198545942671608
0.0,18.0,0.43881209329081394,0.1223758134183711
0.5,9.0,1.4507145975868995e-05,0.00018909314409925793
0.5,10.0,0.0005043034113701133,0.0020819807210652767
0.5,11.0,0.00408587760865913,0.009358372662311668
0.5,12.0,0.017362326196822257,0.02577056134538719
0.5,13.0,0.04990381526880765,0.051388613662580795
0.5,14.0,0.10984379919761958,0.08116609048135337
0.5,15.0,0.19916707110924547,0.10728454551846264
0.5,16.0,0.3120647405896944,0.12310815729430223
0.5,17.0,0.4370712514959307,0.1258574970081377
1.0,8.0,0,5.0024641296099985e-05
1.0,9.0,0.00020360029007512688,0.0012260004589095563
1.0,10.0,0.00258628413243539,0.007252992708043694
1.0,11.0,0.013444250270970796,0.0228689793031788
1.0,12.0,0.043132887542209446,0.049118587988829274
1.0,13.0,0.10129242893138844,0.08087609733923996
1.0,14.0,0.19100988967897295,0.10929430230987938
1.0,15.0,0.3064516166277081,0.126640145387381
1.0,16.0,0.43517289788399666,0.12965420423200574
1.0,17.0,0.5629287485040684,0.1198545942671608
1.5,8.0,5.0024641296099985e-05,0.0005795958439823998
1.5,9.0,0.001429600748984683,0.005214563850118892
1.5,10.0,0.009839276840479083,0.019683935571808225
1.5,11.0,0.036313229574149584,0.04638504126200591
1.5,12.0,0.09225147553103871,0.0802942893693456
1.5,13.0,0.18216852627062838,0.11136355736801432
1.5,14.0,0.30030419198885233,0.13049231830593389
1.5,15.0,0.43309176201508914,0.13381647596982088
1.5,16.0,0.5648271021160025,0.12310815729430222
2.0,7.0,0,0.00017249876308999995
2.0,8.0,0.0006296204852784997,0.003338148477451998
2.0,9.0,0.006644164599103575,0.016232192268655132
2.0,10.0,0.02952321241228731,0.043097787854091976
2.0,11.0,0.08269827083615548,0.07932712641677565
2.0,12.0,0.1725457649003843,0.113476225128808
2.0,13.0,0.2935320836386427,0.1347156551273579
2.0,14.0,0.4307965102947862,0.13840697941042673
2.0,15.0,0.5669082379849101,0.126640145387381
2.0,16.0,0.6879352594103048,0.1053429275043869
2.5,7.0,0.00017249876308999995,0.0017487805637399995
2.5,8.0,0.003967768962730497,0.012567098947703994
2.5,9.0,0.022876356867758706,0.03915238380151239
2.5,10.0,0.07262100026637926,0.0778469967153893
2.5,11.0,0.16202539725293116,0.1156042562355797
2.5,12.0,0.28602199002919226,0.13937309964415426
2.5,13.0,0.4282477387660006,0.14350452246799802
2.5,14.0,0.5692034897052131,0.13049231830593389
2.5,15.0,0.6935483833722912,0.10728454551846263
3.0,6.0,0,0.0005948233209999999
3.0,7.0,0.0019212793268299992,0.008805641377189996
3.0,8.0,0.01653486791043449,0.03443430224882199
3.0,9.0,0.06202874066927109,0.07567741689498889
3.0,10.0,0.15046799698176858,0.11770010109870857
3.0,11.0,0.2776296534885108,0.14454334775517108
3.0,12.0,0.4253950896733466,0.14920982065330612
3.0,13.0,0.5717522612339987,0.13471565512735786
3.0,14.0,0.6996958080111471,0.10929430230987938
3.0,15.0,0.8008329288907539,0.0812337111182487
3.5,6.0,0.0005948233209999999,0.005168809547999999
3.5,7.0,0.010726920704019994,0.02883304553723999
3.5,8.0,0.05096917015925648,0.07257075228335517
3.5,9.0,0.13770615756425997,0.11968375971398408
3.5,10.0,0.26816809808047715,0.15032615422985934
3.5,11.0,0.4221730012436819,0.1556539975126355
3.5,12.0,0.5746049103266527,0.13937309964415426
3.5,13.0,0.7064679163613566,0.11136355736801432
3.5,14.0,0.8089901103210264,0.08116609048135336
4.0,5.0,0,0.0020511148999999996
4.0,6.0,0.005763632868999998,0.022283595185999993
4.0,7.0,0.039559966241259986,0.06817512801308999
4.0,8.0,0.12353992244261162,0.12141983890972875
4.0,9.0,0.25738991727824406,0.15684990041133962
4.0,10.0,0.41849425231033643,0.16301149537932647
4.0,11.0,0.5778269987563175,0.14454334775517108
4.0,12.0,0.7139780099708071,0.11347622512880802
4.0,13.0,0.817831473729371,0.08087609733923995
4.0,14.0,0.8901562008023798,0.053271053262811306
4.5,5.0,0.0020511148999999996,0.014852900999999996
4.5,6.0,0.028047228054999988,0.06198269237999998
4.5,7.0,0.10773509425434996,0.12267453555881996
4.5,8.0,0.24495976135234038,0.16428244555077592
4.5,9.0,0.4142398176895836,0.17152036462083214
4.5,10.0,0.581505747689663,0.15032615422985934
4.5,11.0,0.7223703465114886,0.11560425623557971
4.5,12.0,0.8274542350996151,0.0802942893693456
4.5,13.0,0.898707571068611,0.0513886136625808
5.0,4.0,0,0.007072809999999999
5.0,5.0,0.016904015899999996,0.05327777049999999
5.0,6.0,0.09002992043499997,0.12303501589499997
5.0,7.0,0.2304096298131699,0.17284740293526993
5.0,8.0,0.4092422069031163,0.18151558619376693
5.0,9.0,0.5857601823104158,0.15684990041133964
5.0,10.0,0.7318319019195223,0.1177001010987086
5.0,11.0,0.8379746027470684,0.07932712641677567
5.0,12.0,0.9077485244689608,0.049118587988829274
5.0,13.0,0.9500961847311918,0.028392301021199266
5.5,4.0,0.007072809999999999,0.04097351999999999
5.5,5.0,0.07018178639999997,0.12171961199999996
5.5,6.0,0.21306493632999993,0.18284430376799993
5.5,7.0,0.40325703274843977,0.19348593450311993
5.5,8.0,0.5907577930968833,0.16428244555077595
5.5,9.0,0.7426100827217555,0.1196837597139841
5.5,10.0,0.849532003018231,0.0778469967153893
5.5,11.0,0.917301729163844,0.04638504126200591
5.5,12.0,0.9568671124577901,0.025770561345387192
6.0,3.0,0,0.024388999999999997
6.0,4.0,0.04804632999999999,0.11730267999999998
6.0,5.0,0.19190139839999992,0.19469732899999995
6.0,6.0,0.3959092400979998,0.20818151980399993
